pagetitle,pageviews,users
4018,"[u'Stellungskarte Nr. 7, Stand Vom 24.6.18 | Digital Archive @ McMaster University Library', u'3', u'3']"
4019,"[u'[Coln] 2L | Digital Archive @ McMaster University Library', u'1', u'1']"
4020,"[u'Lens 11 | Digital Archive @ McMaster University Library', u'5', u'5']"
4021,"[u'Third Army Forward Traffic Map | Digital Archive @ McMaster University Library', u'1', u'1']"
4022,"[u'Arras 51b.NW.3 | Digital Archive @ McMaster University Library', u'3', u'2']"
4023,"['No Results Found', 0, 0]"
4024,"[u'Situation Map 4B: Railways & Ammunition Dumps 11-10-18 | Digital Archive @ McMaster University Library', u'3', u'1']"
4025,"[u'Sea of Marmara, Gulf of Ismid | Digital Archive @ McMaster University Library', u'5', u'5']"
4026,"[u'Probable Enemy Order of Battle 31-10-18 (Part Sheet 29) | Digital Archive @ McMaster University Library', u'1', u'1']"
4027,"[u'[Peronne] 62c.NW, ""B"" Series | Digital Archive @ McMaster University Library', u'2', u'2']"
4028,"[u'[Caix] 66e.NE | Digital Archive @ McMaster University Library', u'3', u'2']"
4029,"['No Results Found', 0, 0]"
4030,"['No Results Found', 0, 0]"
4031,"[u'Situation Map 4A: Railways & Ammuniton Dumps 14-9-18 | Digital Archive @ McMaster University Library', u'5', u'3']"
4032,"[u'[Lens] Positions Map | Digital Archive @ McMaster University Library', u'4', u'4']"
4033,"[u'Baghdad | Digital Archive @ McMaster University Library', u'2', u'2']"
4034,"[u'[Albert] 57d.SE Enemy Organisation 22-5-18 | Digital Archive @ McMaster University Library', u'1', u'1']"
4035,"['No Results Found', 0, 0]"
4036,"['No Results Found', 0, 0]"
4037,"['No Results Found', 0, 0]"
4038,"[u'Montauban, Part Sheets 57d.SE, 57c.SW, 62d.NE & 62c.NW | Digital Archive @ McMaster University Library', u'2', u'2']"
4039,"[u'[Longavesnes] 62c.NE | Digital Archive @ McMaster University Library', u'4', u'2']"
4040,"[u'Armentieres 36.NW.2 | Digital Archive @ McMaster University Library', u'2', u'2']"
4041,"[u'[Valenciennes] 51a | Digital Archive @ McMaster University Library', u'1', u'1']"
4042,"[u'Jerusalem: Secret | Digital Archive @ McMaster University Library', u'6', u'5']"
4043,"[u'Palestine Exploration Fund Map | Digital Archive @ McMaster University Library', u'5', u'4']"
4044,"[u'[Corbie] 62d | Digital Archive @ McMaster University Library', u'5', u'1']"
4045,"[u'[Battle of Cambrai and Canal du Nord, 1918] Parts of 51b.SE. & 57c.NE. | Digital Archive @ McMaster University Library', u'1', u'1']"
4046,"['No Results Found', 0, 0]"
4047,"[u'Gaza--Shellal | Digital Archive @ McMaster University Library', u'2', u'2']"
4048,"['No Results Found', 0, 0]"
4049,"[u'Abbeville 14 | Digital Archive @ McMaster University Library', u'1', u'1']"
4050,"[u'East Africa Protectorate, Kericho | Digital Archive @ McMaster University Library', u'10', u'7']"
4051,"[u'Tournai 37 | Digital Archive @ McMaster University Library', u'1', u'1']"
4052,"['No Results Found', 0, 0]"
4053,"['No Results Found', 0, 0]"
4054,"[u'[Bethune] 36b | Digital Archive @ McMaster University Library', u'1', u'1']"
4055,"[u'Ghent 2 | Digital Archive @ McMaster University Library', u'1', u'1']"
4056,"['No Results Found', 0, 0]"
4057,"[u'Sartori | Digital Archive @ McMaster University Library', u'4', u'4']"
4058,"[u'[Hautmont] 51 | Digital Archive @ McMaster University Library', u'1', u'1']"
4059,"['No Results Found', 0, 0]"
4060,"['No Results Found', 0, 0]"
4061,"[u'[Bertincourt] 57c.SE | Digital Archive @ McMaster University Library', u'2', u'1']"
4062,"[u'Liege 7 | Digital Archive @ McMaster University Library', u'3', u'2']"
4063,"[u'[Gommecourt] 57d.NE Enemy Organisation 17-5-18 | Digital Archive @ McMaster University Library', u'6', u'3']"
4064,"[u'Sketch of Enemy Trenches South of Doiran | Digital Archive @ McMaster University Library', u'6', u'6']"
4065,"['No Results Found', 0, 0]"
4066,"[u'Bullecourt 51b.SW.4 | Digital Archive @ McMaster University Library', u'1', u'1']"
4067,"[u'[Arras] 51b | Digital Archive @ McMaster University Library', u'2', u'1']"
4068,"[u'Ghent 2 | Digital Archive @ McMaster University Library', u'10', u'3']"
4069,"['No Results Found', 0, 0]"
4070,"['No Results Found', 0, 0]"
4071,"[u'[Bapaume] 57c.NW Enemy Organisation 19-8-18 | Digital Archive @ McMaster University Library', u'3', u'3']"
4072,"[u'Moorseele-Nord 1:10,000 | Digital Archive @ McMaster University Library', u'6', u'6']"
4073,"[u'Gaza-Atawineh: Secret | Digital Archive @ McMaster University Library', u'4', u'3']"
4074,"[u'Wiancourt, Parts of 57c.SE, 57b.SW, 62c.NE and 62b.NW | Digital Archive @ McMaster University Library', u'2', u'2']"
4075,"[u'Renaix [29] | Digital Archive @ McMaster University Library', u'9', u'8']"
4076,"['No Results Found', 0, 0]"
4077,"['No Results Found', 0, 0]"
4078,"[u'Moeuvres [Bourlon] Special Sheet: Parts of 57c N.W., N.E., S.W. & S.E. | Digital Archive @ McMaster University Library', u'1', u'1']"
4079,"['No Results Found', 0, 0]"
4080,"[u'Map of European Russia Showing Railways; Waterways | Digital Archive @ McMaster University Library', u'3', u'3']"
4081,"['No Results Found', 0, 0]"
4082,"['No Results Found', 0, 0]"
4083,"[u'Artl. Ziel-Karte der Gruppe Cambrai | Digital Archive @ McMaster University Library', u'5', u'5']"
4084,"[u'[Lille] 36 | Digital Archive @ McMaster University Library', u'1', u'1']"
4085,"['No Results Found', 0, 0]"
4086,"['No Results Found', 0, 0]"
4087,"['No Results Found', 0, 0]"
4088,"['No Results Found', 0, 0]"
4089,"[u'Eperlecques: Areas & Training Facilities, 27a.NE (eastern half) | Digital Archive @ McMaster University Library', u'1', u'1']"
4090,"['No Results Found', 0, 0]"
4091,"[u'[Fonquevillers] 57d.NE.1&2 (parts of) | Digital Archive @ McMaster University Library', u'1', u'1']"
4092,"[u'Mouth of the Struma River | Digital Archive @ McMaster University Library', u'8', u'6']"
4093,"[u'[Berchem] 29.SE.1 | Digital Archive @ McMaster University Library', u'1', u'1']"
4094,"['No Results Found', 0, 0]"
4095,"[u'[Cambrai] 57b | Digital Archive @ McMaster University Library', u'1', u'1']"
4096,"[u'Army Area Map No. 14: Enemy Order of Battle 11-11-1918, Situation Map No.25 | Digital Archive @ McMaster University Library', u'7', u'7']"
4097,"[u'[Poperinghe] 27 | Digital Archive @ McMaster University Library', u'1', u'1']"
4098,"['No Results Found', 0, 0]"
4099,"['No Results Found', 0, 0]"
4100,"[u'[Northern Italy] 1914 | Digital Archive @ McMaster University Library', u'5', u'5']"
4101,"[u'German Order of Battle: Western Front 03-01-18 | Digital Archive @ McMaster University Library', u'25', u'8']"
4102,"['No Results Found', 0, 0]"
4103,"[u'Hattencourt 62d.SE., 62c.SW., 66e.NE., 66d.NW., 66e.SE. & 66d.SW. (parts of) | Digital Archive @ McMaster University Library', u'7', u'3']"
4104,"[u'[Albert] 57d.SE | Digital Archive @ McMaster University Library', u'1', u'1']"
4105,"[u'[Montdidier] 66e | Digital Archive @ McMaster University Library', u'1', u'1']"
4106,"[u'[Arras] 51b.NW | Digital Archive @ McMaster University Library', u'2', u'2']"
4107,"[u'Labis Fm [36a.NE.2] | Digital Archive @ McMaster University Library', u'1', u'1']"
4108,"['No Results Found', 0, 0]"
4109,"[u'[Dieppe] 3 | Digital Archive @ McMaster University Library', u'3', u'2']"
4110,"['No Results Found', 0, 0]"
4111,"[u'Anafarta Sagir | Digital Archive @ McMaster University Library', u'7', u'6']"
4112,"[u'[Bethune] 36b | Digital Archive @ McMaster University Library', u'1', u'1']"
4113,"['No Results Found', 0, 0]"
