filename_in,filename_out
84686.tiff,UofA_WW2_Italy_50k_049_IV.tif
84687.tiff,UofA_WW2_Italy_50k_050_I.tif
84688.tiff,UofA_WW2_Italy_50k_050_II.tif
84689.tiff,UofA_WW2_Italy_50k_158_IV.tif
84690.tiff,UofA_WW2_Italy_50k_159_I.tif
84691.tiff,UofA_WW2_Italy_50k_159_II.tif
84692.tiff,UofA_WW2_Italy_50k_159_III.tif
84693.tiff,UofA_WW2_Italy_50k_160_IV.tif
84694.tiff,UofA_WW2_Italy_50k_161_I.tif
84695.tiff,UofA_WW2_Italy_50k_161_II.tif
84696.tiff,UofA_WW2_Italy_50k_161_III.tif
84697.tiff,UofA_WW2_Italy_50k_051_IV.tif
84698.tiff,UofA_WW2_Italy_50k_052_I.tif
84699.tiff,UofA_WW2_Italy_50k_052_III.tif
84700.tiff,UofA_WW2_Italy_50k_052_IV.tif
84701.tiff,UofA_WW2_Italy_50k_053B_I.tif
84702.tiff,UofA_WW2_Italy_50k_053B_III.tif
84703.tiff,UofA_WW2_Italy_50k_053C_III.tif
84704.tiff,UofA_WW2_Italy_50k_053C_IV.tif
84705.tiff,UofA_WW2_Italy_50k_162_IV.tif
84706.tiff,UofA_WW2_Italy_50k_163_I.tif
84707.tiff,UofA_WW2_Italy_50k_163_II.tif
84708.tiff,UofA_WW2_Italy_50k_163_IV.tif
84709.tiff,UofA_WW2_Italy_50k_168_I.tif
84710.tiff,UofA_WW2_Italy_50k_168_II.tif
84711.tiff,UofA_WW2_Italy_50k_168_III.tif
84712.tiff,UofA_WW2_Italy_50k_168_IV.tif
84713.tiff,UofA_WW2_Italy_50k_172_I.tif
84714.tiff,UofA_WW2_Italy_50k_172_II.tif
84715.tiff,UofA_WW2_Italy_50k_172_III.tif
84716.tiff,UofA_WW2_Italy_50k_172_IV.tif
84717.tiff,UofA_WW2_Italy_50k_173_IV.tif
84718.tiff,UofA_WW2_Italy_50k_174_I.tif
84719.tiff,UofA_WW2_Italy_50k_174_II.tif
84720.tiff,UofA_WW2_Italy_50k_174_III.tif
84721.tiff,UofA_WW2_Italy_50k_056_II.tif
84722.tiff,UofA_WW2_Italy_50k_056_III_amer.tif
84723.tiff,UofA_WW2_Italy_50k_056_III_ita.tif
84724.tiff,UofA_WW2_Italy_50k_056_IV_amer.tif
84725.tiff,UofA_WW2_Italy_50k_176_I.tif
84726.tiff,UofA_WW2_Italy_50k_176_II.tif
84727.tiff,UofA_WW2_Italy_50k_176_III.tif
84728.tiff,UofA_WW2_Italy_50k_176_IV.tif
84729.tiff,UofA_WW2_Italy_50k_179_II.tif
84730.tiff,UofA_WW2_Italy_50k_179_III.tif
84731.tiff,UofA_WW2_Italy_50k_180_I.tif
84732.tiff,UofA_WW2_Italy_50k_180_II.tif
84733.tiff,UofA_WW2_Italy_50k_181_III.tif
84734.tiff,UofA_WW2_Italy_50k_181_IV.tif
84735.tiff,UofA_WW2_Italy_50k_182_I.tif
84736.tiff,UofA_WW2_Italy_50k_182_II.tif
84737.tiff,UofA_WW2_Italy_50k_184_II.tif
84738.tiff,UofA_WW2_Italy_50k_184_III.tif
84739.tiff,UofA_WW2_Italy_50k_184_IV.tif
84740.tiff,UofA_WW2_Italy_50k_185_I.tif
84741.tiff,UofA_WW2_Italy_50k_057_IV.tif
84742.tiff,UofA_WW2_Italy_50k_058_I.tif
84743.tiff,UofA_WW2_Italy_50k_058_II.tif
