macrepo,name,parent_collection,url
10060,Celje,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10060
10061,Rogatec,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10061
10062,Ptuj,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10062
10063,Cakovec,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10063
10064,Ðurdevac,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10064
10065,Kapovar,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10065
10066,Pecuj,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10066
10067,Seksard,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10067
10068,Baja,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10068
10069,Subotica,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10069
10070,Kanjia,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10070
10071,Mako,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10071
10072,Ribnica,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10072
10073,Novo Mesto,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10073
10074,Samobor,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10074
10075,Zagreb,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10075
10076,Cazma,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10076
10077,Bjelovar,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10077
10078,Slatina,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10078
10079,D. Miholjac,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10079
10081,Osijek,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10081
10082,Sombor,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10082
10083,Novi Vrbas,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10083
10085,Senta,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10085
10092,V. Kikinda,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10092
10093,Suak,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10093
10094,Ogulin,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10094
10095,Karlovac,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10095
10096,Petrinja,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10096
10097,Kostajnica,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10097
10098,Pakrac,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10098
10099,Slav. Poega,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10099
10100,Brod,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10100
10101,Vinkovci,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10101
10102,Vukovar,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10102
10103,Backa Palanka,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10103
10104,Sremski Karlovci,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10104
10105,Vrac,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10105
10107,Petrovgrad,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10107
