COLLECTION MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS (TOTAL),METRIC: PAGEVIEWS (TOTAL),TIMERANGE: From 365daysAgo to 20180825
75447,0,0
66558,0,0
75442,0,0
75443,0,0
75436,0,0
75438,0,0
75439,0,0
75437,0,0
70476,0,0
74920,0,0
74922,0,0
81261,0,0
75555,0,0
75725,0,0
81264,0,0
75795,0,0
74488,0,0
76323,0,0
76326,0,0
75556,0,0
81265,0,0
71546,0,0
77230,0,0
77266,0,0
77268,0,0
77271,0,0
77283,0,0
77666,0,0
77664,0,0
77667,0,0
77665,0,0
77662,0,0
77663,0,0
79183,0,0
79194,0,0
79185,0,0
79186,0,0
79188,0,0
79189,0,0
79190,0,0
79485,0,0
79500,0,0
79511,0,0
79510,0,0
79512,0,0
79513,0,0
79514,0,0
79515,0,0
79573,0,0
79575,0,0
79576,0,0
79577,0,0
71549,0,0
71553,0,0
71552,0,0
71548,0,0
71554,0,0
71547,0,0
71556,0,0
71555,0,0
71551,0,0
79578,0,0
80898,0,0
71550,0,0
80899,0,0
80900,0,0
80981,0,0
80901,0,0
80902,0,0
80903,0,0
80904,0,0
80905,0,0
81038,0,0
79187,0,0
81039,0,0
81115,0,0
81117,0,0
81118,0,0
81116,0,0
81131,0,0
81133,0,0
81142,0,0
81206,0,0
81130,0,0
81255,0,0
81269,0,0
81271,0,0
81275,0,0
81281,0,0
81291,0,0
81294,0,0
81273,0,0
81326,0,0
81397,0,0
81412,0,0
81431,0,0
81436,0,0
81441,0,0
81450,0,0
81515,0,0
81524,0,0
81535,0,0
81538,0,0
81543,0,0
81551,0,0
81555,0,0
81560,0,0
81573,0,0
81599,0,0
71557,0,0
81804,0,0
81912,0,0
81925,0,0
81951,0,0
82187,0,0
82206,0,0
82247,0,0
82248,0,0
82336,0,0
82339,0,0
82394,0,0
82389,0,0
84411,0,0
