identifier,crs
HTDP63360K031G01_1944_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1944_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1917,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1937_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1933_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1940_MAG,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1906,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1918,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1920,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1925,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1941_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05_1948_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05-G12_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05-G12_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G05-G12_1953,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
